0.90,0.08,0.59,0.39,0.54,0.75,0.66,1.02,0.28,0.81
0.75,0.43,-0.09,0.31,0.31,0.73,0.61,1.06,0.32,0.16
1.16,-0.52,-0.28,0.41,-0.78,0.94,-0.14,1.21,0.26,-0.34
-0.04,-0.26,0.53,1.05,1.43,0.43,-0.22,0.43,0.25,0.81
0.85,-0.14,0.69,-0.08,1.06,0.35,-0.18,0.76,0.82,0.64
0.80,0.67,0.13,0.18,0.73,0.72,1.25,0.41,0.09,0.28
0.46,0.30,0.16,1.29,0.72,-0.18,0.17,0.42,0.66,1.11
0.59,0.89,0.59,0.69,0.06,0.06,0.61,0.46,0.53,0.71
0.57,0.01,0.76,0.81,0.90,0.64,-0.03,1.20,-0.33,0.23
0.04,-0.11,0.21,-0.01,0.97,0.57,1.60,0.25,0.60,0.23
0.59,0.97,-0.00,0.64,0.93,0.68,0.50,0.23,0.61,0.28
0.96,0.99,0.32,0.37,0.33,-0.07,1.22,0.36,0.60,1.02
0.11,0.86,0.44,0.67,0.47,1.17,0.35,0.84,-0.25,0.46
0.93,1.16,0.39,-0.17,0.48,0.17,0.47,0.44,0.89,0.15
0.87,1.14,-0.09,-0.38,0.77,0.84,0.13,0.50,0.90,0.23
0.75,0.34,0.53,0.50,0.77,0.42,0.20,0.62,0.32,0.30
0.64,0.35,0.61,0.54,0.48,0.53,0.47,0.97,0.38,0.39
0.43,0.60,0.63,0.51,0.33,0.68,0.47,0.58,0.53,0.45
0.28,-0.08,0.43,0.33,0.59,0.74,0.38,0.46,0.38,0.71
0.81,0.41,0.81,0.31,1.41,0.32,0.50,0.32,0.46,0.16
0.55,0.63,-0.34,0.54,0.55,0.79,1.16,0.44,0.26,-0.04
0.02,0.76,-0.71,0.17,0.56,-0.06,-0.04,0.51,1.66,1.12
0.06,0.24,0.56,0.27,0.48,0.86,0.03,0.74,0.68,0.33
0.56,0.48,0.19,0.33,0.40,0.74,0.57,0.49,0.58,0.65
0.53,0.55,0.78,0.79,0.49,0.71,0.65,0.63,0.52,0.52
0.64,0.39,0.45,0.77,0.18,0.42,0.26,0.75,0.31,0.29
0.33,1.17,0.02,0.10,0.96,0.64,0.78,-0.13,0.39,0.68
0.30,0.38,0.33,0.64,0.10,0.74,0.32,0.61,0.89,-0.19
0.38,1.01,0.22,0.71,0.40,0.60,0.28,0.89,0.49,0.49
0.46,0.49,0.82,0.45,0.69,0.77,0.89,0.68,0.02,0.78
0.39,0.89,0.44,1.07,0.62,0.41,0.91,0.41,-0.62,0.68
0.22,0.90,0.88,0.94,0.73,0.32,0.47,0.44,0.21,0.29
0.24,0.57,0.76,0.47,0.73,0.36,0.15,1.23,0.47,0.05
-0.73,0.10,0.45,1.40,0.17,0.44,1.15,0.56,0.06,0.66
0.79,0.93,0.15,0.29,0.89,0.19,0.86,0.87,0.60,0.51
-0.33,1.40,0.41,0.32,0.26,0.89,0.04,0.21,0.40,0.25
0.22,0.12,-0.09,0.50,0.30,0.65,1.14,1.75,0.53,0.53
0.40,0.56,0.18,0.34,1.04,0.13,0.37,0.33,0.06,0.90
0.76,1.06,0.81,0.58,0.18,0.43,0.15,0.86,0.29,0.12
0.71,1.12,1.10,0.41,0.41,0.02,0.35,0.75,-0.09,0.65
0.15,1.32,0.41,0.02,0.91,0.39,0.41,0.50,0.40,-0.32
0.79,0.63,0.57,0.18,0.43,-0.08,0.89,0.72,0.94,0.44
1.38,0.00,0.20,0.69,1.04,0.37,1.15,0.98,0.15,0.19
0.84,-0.11,0.00,0.05,1.32,0.56,0.39,0.96,0.59,0.56
0.31,0.84,0.60,0.97,0.10,0.53,0.92,0.79,0.08,0.51
1.01,0.88,0.37,0.65,0.51,0.66,0.64,0.35,0.22,0.53
1.38,-0.00,0.54,0.45,0.28,0.08,0.31,0.05,0.76,0.09
0.61,0.72,-0.02,0.64,0.63,0.53,0.73,0.64,0.46,0.88
0.72,0.72,0.61,0.76,0.55,0.57,0.59,0.46,0.33,0.24
0.28,0.45,0.80,0.24,0.64,0.24,-0.28,0.60,0.40,0.35
1.07,0.85,0.22,-0.01,0.44,0.70,-0.01,0.89,1.24,0.18
0.90,0.63,0.76,0.87,0.65,0.46,0.60,0.42,0.16,0.57
0.73,0.96,0.56,0.54,0.00,1.07,1.02,1.37,0.25,0.34
0.39,0.47,0.65,0.34,0.62,0.21,0.46,0.32,0.47,0.33
-0.57,-0.09,0.34,0.23,-0.25,0.45,0.88,1.01,1.52,0.98
0.59,0.36,0.23,0.53,0.30,0.76,0.70,0.68,0.31,1.02
0.29,0.57,0.62,0.59,0.71,0.76,-0.18,0.43,0.24,0.82
0.19,0.24,0.42,0.44,1.25,0.47,1.01,0.30,0.70,0.84
0.72,0.57,1.15,0.74,0.74,0.83,-0.08,-0.05,0.38,0.31
0.59,0.14,0.42,0.31,0.82,0.17,0.78,0.76,0.86,0.47
0.53,0.61,0.68,0.73,0.21,0.31,0.16,0.81,0.69,0.45
0.65,0.45,0.72,0.39,0.15,1.00,0.68,0.51,0.54,0.52
0.24,0.41,0.79,0.32,0.63,0.58,0.50,0.59,-0.32,1.02
0.80,0.48,0.69,0.47,0.46,0.50,0.14,0.61,0.51,0.67
0.34,0.96,0.52,0.33,0.09,0.56,0.41,0.58,0.63,0.55
0.75,0.93,0.86,0.31,0.22,0.53,0.45,0.73,0.32,0.42
0.03,1.23,-0.22,0.26,0.81,0.44,0.80,0.72,0.59,0.33
0.39,0.14,0.42,1.09,0.26,0.58,0.90,0.08,0.56,0.33
0.66,0.59,0.39,0.41,0.81,0.85,0.38,0.42,0.81,0.69
0.35,0.53,0.57,0.66,0.61,0.69,0.12,0.15,0.70,0.96
0.82,0.59,0.53,1.39,-0.18,0.34,0.95,-0.01,-0.05,0.77
0.47,0.62,0.35,0.59,0.49,0.65,0.43,0.81,0.36,0.62
0.68,0.12,0.76,0.57,0.32,1.00,0.75,0.52,0.74,0.01
0.44,0.80,1.11,0.26,0.45,0.58,0.18,0.30,0.63,0.64
-0.03,0.04,0.57,1.14,0.03,0.49,-0.27,0.29,0.29,1.51
0.40,0.94,0.20,0.33,-0.41,0.37,-0.24,1.47,0.42,-0.04
0.35,-0.37,0.57,1.00,0.90,0.99,0.49,0.84,-0.35,0.71
0.53,0.12,-0.33,1.01,0.17,0.37,0.37,0.84,0.42,0.90
0.82,0.72,0.39,0.48,0.62,0.76,-0.04,0.50,0.43,0.84
0.53,0.76,0.33,0.77,0.25,0.65,1.01,0.53,0.58,0.51
0.19,0.27,0.06,0.69,0.51,0.17,0.66,0.68,1.12,-0.30
0.57,0.48,0.01,0.37,0.01,0.46,1.23,0.73,0.64,0.34
1.59,0.58,0.69,0.81,0.10,0.23,-0.07,0.55,-0.26,0.22
0.64,0.95,0.58,0.17,0.96,0.23,0.24,0.43,0.45,0.37
0.74,0.64,0.82,0.16,1.15,0.24,-0.26,0.70,-0.18,0.61
0.24,0.72,0.50,0.60,0.75,0.22,0.98,0.65,0.23,0.42
0.40,0.50,0.97,0.74,0.78,0.46,0.16,0.49,0.17,0.62
0.31,0.53,0.88,0.51,0.47,0.70,0.34,0.65,0.64,0.54
0.68,0.69,0.39,0.77,-0.34,0.31,0.86,0.23,-0.71,0.65
0.52,0.67,0.35,0.39,1.37,0.69,-0.07,0.56,0.72,0.01
0.15,-0.04,0.40,0.97,0.16,0.69,0.37,1.12,0.44,0.44
0.85,0.31,0.29,0.66,-0.04,0.98,0.79,0.23,0.29,0.79
0.64,0.82,0.19,0.82,0.19,0.71,0.94,0.82,0.57,0.59
0.16,0.52,-0.35,0.70,0.80,0.48,0.64,0.63,0.33,0.53
0.71,0.42,0.56,0.70,0.55,0.82,0.21,0.85,0.63,0.26
0.18,0.77,0.34,1.09,1.12,0.32,0.18,0.92,-0.19,0.54
0.31,0.56,0.24,0.90,0.45,0.79,1.20,0.63,0.27,0.70
-0.02,1.10,1.36,0.76,0.59,0.24,0.75,0.27,0.25,-0.07
1.04,0.64,0.43,0.65,-0.02,0.71,0.54,0.85,-0.32,1.21
0.54,0.49,0.55,0.52,0.53,0.29,1.21,0.25,0.58,0.68
0.53,0.66,1.08,0.86,0.40,0.40,0.13,0.76,0.23,-0.17
0.67,0.57,0.49,0.08,0.54,0.27,0.39,1.03,0.01,0.78
0.65,0.61,0.53,0.01,0.35,0.34,0.58,1.00,0.64,0.75
0.41,0.39,0.81,0.82,0.62,0.22,0.75,-0.04,0.37,0.74
0.63,0.63,0.64,0.49,-0.04,0.69,0.69,0.60,0.57,0.50
0.61,0.08,0.74,0.21,0.64,1.14,0.89,0.13,0.54,0.45
0.97,1.12,0.21,0.19,0.87,0.58,0.73,0.10,0.12,0.54
0.63,1.05,0.14,-0.04,0.67,1.17,0.21,0.44,0.22,0.89
0.63,0.72,0.74,0.16,0.22,0.32,0.70,0.54,0.54,0.34
0.55,0.32,1.00,0.38,0.53,0.59,0.04,0.46,0.37,0.51
0.51,-0.00,0.10,-0.17,0.70,0.49,1.08,0.37,0.60,0.97
0.85,0.32,0.13,1.08,-0.43,1.48,0.27,0.90,0.65,-0.31
0.66,0.71,1.27,0.17,0.65,0.98,-0.32,-0.22,0.50,0.30
